PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.;CREDICORP, S. A.
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEPÓSITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
No. de Cuentas Depósitos Monetarios;63923;11562;38277;1328536;2337648;84617;338;3464;2502;120059;0;172045;473211;1074924;322132;550;208
Monto Depósitos Monetarios;2070842;392522;1488160;25332512;25442108;2528836;2758441;66082;434424;1701046;0;8129424;5352820;12076812;635203;12178;4152
No. de Cuentas Depósitos de Ahorro;35528;53747;404198;1407760;4376570;87379;0;18860;13926;366457;39437;366277;560202;873735;0;308;105
Monto Depósitos de Ahorro;799273;330774;3368496;13449116;22129645;1420387;0;178917;93932;813701;75488;2973457;3887252;12270042;0;15358;91
No. de Cuentas Depósitos a Plazo;2034;1764;23323;17184;58940;2550;1;411;647;4423;2607;3924;8851;12302;3403;362;55
Monto Depósitos a Plazo;1217874;701958;17519883;22013902;21851241;2618635;600000;329002;1057662;7433074;1148280;7036366;8406076;9193622;473348;263973;32877
No. de Cuentas a la Orden;386;34;5;112399;5123;562;0;963;119;755;26;2685;369276;0;51;0;0
Monto Depósitos a la Orden;3473;6690;13;24593;81762;12830;0;52;15;1872;674;10608;42234;0;33;0;0
No. de Cuentas Depósitos con Restricciones;7612;1549;58125;98121;19290;11637;36;1010;1286;45058;409;8887;72863;124638;31878;3;0
Monto Depósitos con Restricciones;11537;2202;24173;292476;103248;20247;5144;920;1042;31334;336;36506;58973;136288;6702;41;0
No. de Obligaciones Financieras;156;0;0;0;0;1;0;0;20;0;0;0;114;0;0;84;306
Monto Obligaciones Financieras;28999;0;0;0;0;400;0;0;38000;0;0;0;6306;0;0;26377;233668
MONEDA EXTRANJERA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
No. de Cuentas Depósitos Monetarios;418;449;1063;74610;12445;4147;215;0;769;17352;0;18395;10567;17594;1318;152;0
Monto Depósitos Monetarios;16269;72765;42974;8465167;666056;741077;1006944;0;153881;1259964;0;5475271;2273539;5678168;12337;5875;0
No. de Cuentas Depósitos de Ahorro;521;379;1194;58160;23940;4914;0;144;795;19966;130;14303;19380;27613;0;51;4
Monto Depósitos de Ahorro;15777;10336;39541;3881513;238294;499115;0;9953;59413;489677;903;933111;2507018;1551285;0;9863;53
No. de Cuentas Depósitos a Plazo;86;64;22;1073;598;448;1;1;229;1342;6;749;1142;1387;0;277;7
Monto Depósitos a Plazo;23395;90395;9832;2546188;573647;1238760;1091;429;677202;2243827;1057;4748545;1382956;1914879;0;373291;5121
No. de Cuentas a la Orden;21;1;0;3756;58;119;0;0;0;145;0;298;8719;0;1;0;0
Monto Depósitos a la Orden;6;3;0;2276;7896;2210;0;0;0;2380;0;14345;5586;0;0;0;0
No. de Cuentas Depósitos con Restricciones;63;28;187;3762;63;477;2;0;27;16812;3;736;2033;876;118;1;0
Monto Depósitos con Restricciones;40;41;552;33420;770;3524;85;0;228;6984;1;7024;6959;7301;35;0;0
No. de Obligaciones Financieras;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63;55
Monto Obligaciones Financieras;44535;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40066;33529
POSICIÓN PATRIMONIAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CAPITAL COMPUTABLE;340904;329553;3949451;10270305;8663231;1138248;240059;144663;343548;2359395;236720;2792651;2949509;5450028;294646;162959;59938
CAPITAL REQUERIDO;210916;121610;1680649;7548108;4819975;798546;44418;58863;229198;1421455;105053;2424525;2410828;3152453;149416;62618;14667
POSICIÓN;129988;207943;2268802;2722197;3843256;339701;195641;85800;114350;937940;131667;368126;538681;2297575;145230;100341;45271
INDICADORES FINANCIEROS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LIQUIDEZ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liquidez inmediata (LI);0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Liquidez mediata (LM);1;1;1;0;1;0;1;1;0;0;0;0;0;1;0;1;1
SOLVENCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Patrimonio con relación a activos (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Patrimonio con relación a cartera de créditos (PCC);0;0;0;0;0;0;20;1;0;0;0;0;0;0;0;0;2
Patrimonio con relación a las captaciones (PCA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Adecuación de capital (AC);0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Calce de operaciones ME con relación al patrimonio computable (COME);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RENTABILIDAD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rendimiento sobre patrimonio (ROE);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rendimiento sobre activos (ROA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eficiencia sobre activos (EA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eficiencia (EF);0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
CALIDAD DE ACTIVOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cartera de créditos vencida con relación a cartera de créditos bruta (CVC);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cobertura de cartera de créditos en riesgo (CCR);1;1;2;3;1;4;0;4;1;626;8;2;2;3;1;2;1
