PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;DE CRÉDITO, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.
No. de Cuentas Depósitos Monetarios;416;441;1074;74124;12456;4141;211;0;775;17225;0;18183;10522;22536;0;1329;153
Monto Depósitos Monetarios;16331;56636;41181;7945961;666643;688981;982872;0;121709;1263919;0;5397535;2400135;6587777;0;12603;6450
No. de Cuentas Depósitos de Ahorro;521;381;1202;57836;23993;4927;0;141;774;19381;130;13784;19288;28283;0;0;51
Monto Depósitos de Ahorro;13759;10536;38207;3359698;255655;538685;0;9237;59489;472055;921;899147;3106991;1505729;0;0;9295
No. de Cuentas Depósitos a Plazo;87;63;22;1085;589;453;1;1;226;1341;6;759;1164;1411;0;0;249
Monto Depósitos a Plazo;24206;87613;9835;2569362;565125;1319636;1091;429;632560;2150460;1055;4716847;1392244;1897484;0;0;356846
No. de Cuentas a la Orden;21;1;0;3873;58;120;0;0;0;211;0;312;8913;0;0;1;0
Monto Depósitos a la Orden;6;4;0;2312;12135;1685;0;0;0;2081;0;25028;7807;0;0;0;0
No. de Cuentas Depósitos con Restricciones;63;27;187;3713;66;474;2;0;25;16782;3;709;2022;857;0;118;1
Monto Depósitos con Restricciones;40;37;553;28599;814;3531;85;0;227;6742;1;6882;6632;8263;0;35;0
No. de Obligaciones Financieras;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120
Monto Obligaciones Financieras;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71472
POSICIÓN PATRIMONIAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CAPITAL COMPUTABLE;293202;322948;3838342;9940294;8384532;1100906;240059;143603;321762;2427906;254123;2793225;2868671;5244233;0;294646;158163
CAPITAL REQUERIDO;192986;117387;1675267;7501265;4847904;749927;48059;58716;221622;1367000;109241;2290696;2431930;3074806;0;138813;67048
POSICIÓN;100216;205561;2163076;2439029;3536628;350979;191999;84887;100140;1060906;144882;502529;436741;2169427;0;155833;91115
INDICADORES FINANCIEROS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LIQUIDEZ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liquidez inmediata (LI);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liquidez mediata (LM);1;1;1;0;1;0;1;1;0;0;0;0;0;1;0;1;0
SOLVENCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Patrimonio con relación a activos (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Patrimonio con relación a cartera de créditos (PCC);0;0;0;0;0;0;59;1;0;0;0;0;0;0;0;0;0
Patrimonio con relación a las captaciones (PCA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Adecuación de capital (AC);0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Calce de operaciones ME con relación al patrimonio computable (COME);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RENTABILIDAD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rendimiento sobre patrimonio (ROE);0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Rendimiento sobre activos (ROA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eficiencia sobre activos (EA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eficiencia (EF);0;1;1;1;1;1;1;1;1;1;1;1;1;1;9;1;1
CALIDAD DE ACTIVOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cartera de créditos vencida con relación a cartera de créditos bruta (CVC);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cobertura de cartera de créditos en riesgo (CCR);1;1;2;3;1;4;0;1;1;404;73;1;2;2;0;1;2
