PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;DE CRÉDITO, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.
PRODUCTOS POR SERVICIOS;508803;4576;24748;246239;545540;41488;2678;641;13802;229322;6744;60369;137767;210091;0;61219;241
GASTOS POR SERVICIOS;15173;3428;20693;0;0;8684;5;0;33345;63887;6011;62224;80912;18294;0;23232;204
MARGEN POR SERVICIOS;493630;1148;4055;246239;545540;32803;2673;641;-19542;165435;734;-1856;56856;191797;0;37987;37
OTROS PRODUCTOS Y GASTOS DE OPERACIÓN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Productos;2126;1505;3824;520555;143352;71887;83010;1914;6371;43839;74;196915;60550;193572;0;4898;559
Gastos;31278;3141;138792;526378;683788;74573;7787;856;78017;606957;125977;227412;392831;363746;0;57923;116
MARGEN OTROS PRODUCTOS Y GASTOS DE OPERACIÓN;-29152;-1636;-134969;-5823;-540436;-2686;75223;1059;-71647;-563118;-125903;-30496;-332280;-170174;0;-53025;443
MARGEN OPERACIONAL BRUTO;566273;57270;1238093;2433693;2500817;258284;156233;25957;164234;702024;126467;831100;554502;1062059;0;384706;18256
GASTOS DE ADMINISTRACIÓN;152241;47283;666446;1342375;1907976;178552;87103;21622;146478;583020;115609;476940;480602;714668;0;330530;11692
MARGEN OPERACIONAL NETO;414033;9987;571647;1091318;592841;79732;69130;4335;17755;119004;10858;354159;73900;347391;0;54176;6564
PRODUCTOS Y GASTOS EXTRAORDINARIOS;-395950;1253;33609;34902;-23840;-656;1016;3377;16667;77511;8326;12764;32610;40939;0;17445;0
Productos Extraordinarios;85174;2311;34662;37764;22696;736;1078;3740;17450;82056;8326;25144;43155;42773;0;19165;0
Gastos Extraordinarios;481124;1058;1053;2861;46536;1392;62;363;783;4545;0;12381;10545;1834;0;1720;0
PRODUCTOS Y GASTOS DE EJERCICIOS ANTERIORES;7722;-535;-13438;733;10823;-460;129;11;-678;-257;-504;0;5243;-6869;0;1527;-1367
Productos de Ejercicios Anteriores;8411;355;1575;1204;16543;1;431;17;2;236;499;0;6626;10250;0;1527;288
Gastos de Ejercicios Anteriores;689;891;15013;471;5720;460;302;6;680;493;1003;0;1383;17119;0;0;1655
GANANCIA (PÉRDIDA) BRUTA;25804;10705;591817;1126954;579824;78617;70275;7722;33745;196258;18681;366923;111753;381461;0;73148;5197
IMPUESTO SOBRE LA RENTA;0;0;98651;74300;17809;1030;10484;1074;3497;11446;8420;75169;17548;27342;0;18655;1491
GANANCIA (PÉRDIDA) NETA;25804;10705;493166;1052654;562014;77587;59791;6649;30249;184813;10261;291754;94205;354120;0;54493;3706
TASAS DE INTERÉS PROMEDIO PONDERADAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES ACTIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Préstamos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Documentos Descontados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES PASIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos Monetarios;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos de Ahorro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos a Plazo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bonos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pagarés Financieros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Subordinadas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Financieras con Restricciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Convertibles en Acciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
