PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;DE CRÉDITO, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEPÓSITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
No. de Cuentas Depósitos Monetarios;60980;10266;34724;1287418;1883600;80508;326;3511;2543;115310;0;180437;294146;830837;0;316522;378
Monto Depósitos Monetarios;1391641;331940;1413704;22940485;22958065;2269437;2055971;56807;196538;1664932;0;6789350;4942712;11902856;0;558049;8331
No. de Cuentas Depósitos de Ahorro;38300;53019;401909;1375317;4396656;87237;0;18582;13366;268111;36223;373931;552893;1014116;0;0;312
Monto Depósitos de Ahorro;733955;304856;2800143;12108889;19564422;1136108;0;131935;71856;736495;68273;2556368;3619795;11265312;0;0;12722
No. de Cuentas Depósitos a Plazo;2122;1777;23350;17564;61659;2716;0;413;660;4406;2513;4065;9141;13150;0;3355;256
Monto Depósitos a Plazo;1076508;644969;17054672;20822560;21341086;2701731;0;324755;1124857;6927783;1058402;7185218;7157762;9569945;0;463736;175396
No. de Cuentas a la Orden;381;36;5;112669;3737;640;0;959;74;604;24;2292;410082;0;0;51;0
Monto Depósitos a la Orden;11791;211;13;24678;196350;11000;0;51;4;2529;621;10686;44762;0;0;33;0
No. de Cuentas Depósitos con Restricciones;7595;1518;57888;94521;18242;11290;32;1001;1188;44534;393;7990;70647;122815;0;31536;3
Monto Depósitos con Restricciones;11402;2199;23122;274218;88511;22176;7860;856;925;30110;281;34358;57636;129966;0;6537;41
No. de Obligaciones Financieras;126;0;0;40;0;1;0;0;22;0;0;0;114;0;0;0;341
Monto Obligaciones Financieras;1280;0;0;65800;0;400;0;0;35050;0;0;0;6306;0;0;0;133499
MONEDA EXTRANJERA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
No. de Cuentas Depósitos Monetarios;412;425;1099;73077;12474;4118;200;0;745;17078;0;19245;10606;22622;0;1346;148
Monto Depósitos Monetarios;16143;43778;40337;8109111;662941;687772;749370;0;141771;1210534;0;5065223;1962925;5846681;0;12251;7677
No. de Cuentas Depósitos de Ahorro;532;387;1233;57309;24089;4899;0;139;737;18401;129;13679;19244;28622;0;0;44
Monto Depósitos de Ahorro;15602;11057;47522;4056301;248672;650653;0;13520;49582;499487;803;801712;2625661;1413476;0;0;8371
No. de Cuentas Depósitos a Plazo;92;61;23;1099;588;474;2;1;201;1295;6;659;1191;1468;0;0;177
Monto Depósitos a Plazo;24788;73779;9739;2483297;565953;1288831;93568;424;546728;1995833;1035;4711045;1472898;1847049;0;0;269289
No. de Cuentas a la Orden;20;1;0;3973;53;122;0;0;0;199;0;272;9265;0;0;1;0
Monto Depósitos a la Orden;5;3;0;2429;15474;3980;0;0;0;2088;0;2067;5757;0;0;0;0
No. de Cuentas Depósitos con Restricciones;63;27;187;3680;67;471;2;0;24;16870;3;679;2007;816;0;116;1
Monto Depósitos con Restricciones;39;36;546;29341;804;3893;84;0;221;6602;1;5396;6550;6272;0;35;0
No. de Obligaciones Financieras;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;250
Monto Obligaciones Financieras;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;143564
POSICIÓN PATRIMONIAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CAPITAL COMPUTABLE;277616;319380;3589255;9251096;7967735;1031246;240059;141664;311514;2031538;238678;2793225;2829372;5077730;0;294646;120252
CAPITAL REQUERIDO;203624;116650;1611971;7473650;4779772;790598;48521;55605;211793;1313127;114674;2341297;2376309;3124533;0;132086;65122
POSICIÓN;73992;202730;1977283;1777446;3187963;240648;191538;86059;99721;718411;124003;451928;453063;1953197;0;162560;55130
INDICADORES FINANCIEROS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LIQUIDEZ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liquidez inmediata (LI);1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liquidez mediata (LM);1;1;1;0;1;0;1;1;0;0;0;0;0;1;0;1;0
SOLVENCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Patrimonio con relación a activos (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Patrimonio con relación a cartera de créditos (PCC);0;0;0;0;0;0;124;0;0;0;0;0;0;0;0;1;0
Patrimonio con relación a las captaciones (PCA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Adecuación de capital (AC);0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Calce de operaciones ME con relación al patrimonio computable (COME);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
RENTABILIDAD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rendimiento sobre patrimonio (ROE);0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Rendimiento sobre activos (ROA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eficiencia sobre activos (EA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eficiencia (EF);0;1;1;1;1;1;1;1;1;1;1;1;1;1;9;1;1
CALIDAD DE ACTIVOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cartera de créditos vencida con relación a cartera de créditos bruta (CVC);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cobertura de cartera de créditos en riesgo (CCR);1;1;2;2;1;3;18;1;1;3;2;1;2;2;0;1;1
