PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.;CREDICORP, S. A.
Obligaciones Financieras con Restricciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Convertibles en Acciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA EXTRANJERA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES ACTIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Préstamos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Documentos Descontados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES PASIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos Monetarios;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos de Ahorro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos a Plazo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bonos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pagarés Financieros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Subordinadas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Financieras con Restricciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Convertibles en Acciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENCAJE LEGAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Encaje Computable;651800;213994;3290557;8966061;10129954;978491;632643;85584;241199;1481791;180853;2640898;2629593;4948058;164081;46024;18477
Encaje Requerido;593763;212080;3288327;8938095;10087160;971585;485939;84025;228605;1480675;180359;2596720;2609707;4937561;162783;42906;7712
Posición;58037;1914;2231;27966;42794;6906;146704;1558;12594;1116;494;44177;19885;10496;1299;3117;10765
MONEDA EXTRANJERA /Cifras en miles de Dólares;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Encaje Computable;2323;6344;5563;297927;56812;47645;29418;309;22583;78461;427;234540;116822;179628;835;7615;244
Encaje Requerido;1119;3233;2199;288756;28813;47197;19791;210;16667;75492;40;220163;115413;177236;241;7273;124
Posición;1204;3112;3364;9171;27999;448;9627;99;5916;2969;387;14378;1409;2392;594;342;120
CARTERA DE CRÉDITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TOTAL DE CARTERA DE CRÉDITOS (BRUTA);1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Vigente;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Vencidos en Proceso de Prórroga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Administrativo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Judicial;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monto total de Cartera de Créditos (Bruta);1771715;909948;15426021;28518654;31896419;4096948;13873;299101;1290546;6323214;889174;12827120;14250109;12456237;1333733;203703;29287
MONEDA EXTRANJERA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TOTAL DE CARTERA DE CRÉDITOS (BRUTA);1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
Vigente;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1
Vencidos en Proceso de Prórroga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Administrativo;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Judicial;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monto total de Cartera de Créditos (Bruta);36305;101860;108996;29639248;4148765;2737817;398;425;560878;4376156;425;10507765;9532890;10869613;0;296444;2539
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEPÓSITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
No. de Cuentas Depósitos Monetarios;64202;11620;38654;1335830;1465530;85604;339;3417;2519;120922;0;173639;146763;455184;322448;556;262
Monto Depósitos Monetarios;2009753;387379;1471055;25653357;25247190;2714035;2702783;70670;357257;1951796;0;7963830;5432726;12575271;623336;12881;6248
No. de Cuentas Depósitos de Ahorro;35290;53951;405525;1415220;4385334;87501;0;18836;14131;198925;40091;374317;561447;880783;0;310;133
Monto Depósitos de Ahorro;782826;332718;3532840;13288188;22233634;1374610;0;187211;93677;807214;73739;3019604;3852813;12473597;0;15571;275
No. de Cuentas Depósitos a Plazo;2029;1783;23494;17174;58467;2528;1;409;639;4407;2628;3894;8771;12150;3395;371;89
Monto Depósitos a Plazo;1217785;742146;17610828;22200450;22157384;2598389;500000;322208;1102165;7459192;1155211;6977751;8343207;8916257;473187;269537;61610
No. de Cuentas a la Orden;396;30;5;112574;5134;588;0;960;119;794;27;2732;362993;0;51;0;0
Monto Depósitos a la Orden;3425;5523;13;24431;66183;13086;0;51;14;1886;692;12024;41846;0;33;0;0
No. de Cuentas Depósitos con Restricciones;7613;1555;58204;99397;19360;11774;37;1008;1287;45181;412;9039;73333;124815;31968;3;0
Monto Depósitos con Restricciones;11570;2212;20835;291849;102746;19424;5221;902;986;30859;338;36393;59804;135828;6693;41;0
No. de Obligaciones Financieras;148;0;0;0;0;1;0;0;22;0;0;0;114;0;0;69;284
Monto Obligaciones Financieras;19011;0;0;0;0;400;0;0;38200;0;0;0;6306;0;0;21928;203102
MONEDA EXTRANJERA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
No. de Cuentas Depósitos Monetarios;422;452;1062;74942;12454;4139;218;0;773;17413;0;18540;10557;15897;1313;157;0
Monto Depósitos Monetarios;15117;76949;64387;8594028;674388;767620;938453;0;166121;1295979;0;5938294;2259515;6539900;13610;9308;0
No. de Cuentas Depósitos de Ahorro;520;379;1201;58379;23973;4925;0;144;825;20297;127;14607;19397;27709;0;51;5
Monto Depósitos de Ahorro;15960;10099;40339;4114010;243491;468381;0;10325;62468;517170;976;973936;2706744;1539025;0;10302;108
