PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;DE CRÉDITO, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.
Documentos Descontados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES PASIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos Monetarios;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos de Ahorro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos a Plazo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bonos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pagarés Financieros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Subordinadas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Financieras con Restricciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Convertibles en Acciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA EXTRANJERA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES ACTIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Préstamos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Documentos Descontados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES PASIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos Monetarios;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos de Ahorro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos a Plazo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bonos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pagarés Financieros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Subordinadas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Financieras con Restricciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Convertibles en Acciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENCAJE LEGAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Encaje Computable;491557;180151;3069095;7972790;8911887;901101;223775;75859;202670;1335944;164403;2381427;2307366;4664392;0;150226;36860
Encaje Requerido;453637;179203;3066676;7930215;8873657;853887;202487;74856;198795;1326422;163835;2176076;2285713;4607263;0;148809;28819
Posición;37920;948;2418;42575;38230;47214;21288;1003;3876;9522;569;205351;21653;57129;0;1417;8041
MONEDA EXTRANJERA /Cifras en miles de Dólares;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Encaje Computable;1218;2713;46472;295413;39389;55962;31057;383;26837;72952;431;251709;117615;183419;0;1060;5207
Encaje Requerido;1086;2460;1859;278574;29070;53085;20186;257;14464;69337;38;203290;111703;176187;0;230;4903
Posición;131;253;44613;16839;10319;2876;10872;126;12373;3614;393;48419;5912;7232;0;830;304
CARTERA DE CRÉDITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TOTAL DE CARTERA DE CRÉDITOS (BRUTA);1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
Vigente;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
Vencidos en Proceso de Prórroga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Administrativo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Judicial;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monto total de Cartera de Créditos (Bruta);1578497;883561;14468510;26857775;31097629;4457708;2557;325059;1134938;5999087;1017797;12189957;13286540;13058250;0;1175261;184781
MONEDA EXTRANJERA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TOTAL DE CARTERA DE CRÉDITOS (BRUTA);1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1
Vigente;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1
Vencidos en Proceso de Prórroga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Administrativo;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Judicial;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monto total de Cartera de Créditos (Bruta);23530;92297;107759;29884695;4606170;2367852;262;312;582130;4199426;690;10429607;9735902;11346038;0;0;317481
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEPÓSITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
No. de Cuentas Depósitos Monetarios;60297;10057;34453;1284854;1906303;79895;324;3540;2563;114724;0;181925;293001;833656;0;316005;377
Monto Depósitos Monetarios;1293860;294347;1307509;21645227;21961231;2181476;1517661;54509;209279;1615742;0;6126443;4706866;10920474;0;548479;11522
No. de Cuentas Depósitos de Ahorro;39105;52910;401453;1371503;4405972;87287;0;18580;13299;266650;35818;369843;551743;1024459;0;0;311
Monto Depósitos de Ahorro;714943;291735;2682221;11820926;18951739;1099315;0;127448;72396;716216;72586;2556054;3580004;11233014;0;0;12752
No. de Cuentas Depósitos a Plazo;2131;1769;23343;17674;61506;2697;0;408;653;4402;2497;4000;9171;13247;0;3331;244
Monto Depósitos a Plazo;1087083;640914;17116812;20899063;20693332;2666510;0;330271;1075865;6915673;1050419;6722940;7387808;9571179;0;459018;165620
No. de Cuentas a la Orden;368;36;5;112819;3166;632;0;962;74;570;24;2217;417104;0;0;51;0
Monto Depósitos a la Orden;6475;211;13;25077;148063;11978;0;52;4;1910;621;10343;44583;0;0;33;0
No. de Cuentas Depósitos con Restricciones;7601;1518;57859;94580;18050;11245;32;999;1187;44469;393;7896;70133;122490;0;31518;3
Monto Depósitos con Restricciones;11376;2199;23118;274574;86900;20309;7860;845;925;29946;281;34411;57590;128483;0;6516;41
No. de Obligaciones Financieras;126;0;0;40;0;1;0;0;22;0;0;0;114;0;0;0;373
Monto Obligaciones Financieras;1280;0;0;65800;0;400;0;0;35050;0;0;0;6306;0;0;0;150856
MONEDA EXTRANJERA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
No. de Cuentas Depósitos Monetarios;409;428;1108;73028;12492;4114;198;0;748;17055;0;19720;10617;22603;0;1354;147
Monto Depósitos Monetarios;19624;42018;41995;7945916;698705;714370;870989;0;112781;1147443;0;5150240;1972481;6041521;0;12132;7794
No. de Cuentas Depósitos de Ahorro;537;389;1239;57246;24146;4891;0;139;728;18229;129;13815;19234;28626;0;0;43
Monto Depósitos de Ahorro;15578;10565;44469;4121253;246083;617456;0;13689;47695;498966;803;791681;2641876;1470852;0;0;6636
No. de Cuentas Depósitos a Plazo;92;61;23;1101;590;467;2;1;203;1263;6;641;1199;1467;0;0;164
Monto Depósitos a Plazo;24792;73676;9725;2508101;575304;1216913;62664;423;600201;1997142;1034;4666018;1408736;1858282;0;0;253722
No. de Cuentas a la Orden;19;1;0;3984;43;121;0;0;0;195;0;271;9354;0;0;1;0
Monto Depósitos a la Orden;4;3;0;2481;15878;2905;0;0;0;2075;0;2109;5762;0;0;0;0
No. de Cuentas Depósitos con Restricciones;63;27;187;3673;67;471;2;0;23;16868;3;679;2001;677;0;116;1
Monto Depósitos con Restricciones;39;36;545;29394;803;3887;84;0;218;6591;1;5389;6516;6256;0;35;0
No. de Obligaciones Financieras;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;285
Monto Obligaciones Financieras;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;173069
POSICIÓN PATRIMONIAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CAPITAL COMPUTABLE;273612;319353;3508631;9081177;7570057;998595;240059;141163;305948;2031538;232132;2793225;2777490;5006960;0;294646;119660
CAPITAL REQUERIDO;195526;117509;1602224;7363337;4455435;779484;46523;55503;212182;1299895;116008;2333095;2420185;3230031;0;131561;65139
POSICIÓN;78086;201844;1906407;1717840;3114622;219110;193536;85660;93766;731643;116124;460131;357305;1776929;0;163085;54521
INDICADORES FINANCIEROS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LIQUIDEZ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liquidez inmediata (LI);1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liquidez mediata (LM);1;0;1;0;1;0;1;1;0;0;0;0;0;1;0;1;0
SOLVENCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Patrimonio con relación a activos (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Patrimonio con relación a cartera de créditos (PCC);0;0;0;0;0;0;130;0;0;0;0;0;0;0;0;1;0
Patrimonio con relación a las captaciones (PCA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Adecuación de capital (AC);0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Calce de operaciones ME con relación al patrimonio computable (COME);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
RENTABILIDAD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rendimiento sobre patrimonio (ROE);0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Rendimiento sobre activos (ROA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eficiencia sobre activos (EA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eficiencia (EF);0;1;1;1;1;1;1;1;1;1;1;1;1;1;9;1;1
CALIDAD DE ACTIVOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cartera de créditos vencida con relación a cartera de créditos bruta (CVC);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cobertura de cartera de créditos en riesgo (CCR);1;1;2;2;1;3;9;1;1;3;1;1;1;2;0;1;1
