PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;DE CRÉDITO, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.
Monto Obligaciones Financieras;1280;0;0;65800;0;400;0;0;35050;0;0;0;6306;0;0;0;165602
MONEDA EXTRANJERA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
No. de Cuentas Depósitos Monetarios;404;425;1114;73004;12500;4101;196;0;744;17032;0;19640;10639;22612;0;1360;141
Monto Depósitos Monetarios;15281;46411;42012;7856284;628837;1027095;928630;0;82790;1146323;0;5414027;1972627;5735713;0;12058;4980
No. de Cuentas Depósitos de Ahorro;538;395;1243;57165;24204;4892;0;138;718;18098;129;13650;19226;28628;0;0;42
Monto Depósitos de Ahorro;15778;10590;44668;3802179;242256;624685;0;11981;33267;487600;767;771923;2232974;1511738;0;0;7168
No. de Cuentas Depósitos a Plazo;93;62;23;1092;591;460;2;1;198;1230;7;620;1200;1478;0;0;143
Monto Depósitos a Plazo;24822;71929;9754;2440873;591672;1164870;62835;424;588500;1971995;1120;4574914;1401929;1859336;0;0;228250
No. de Cuentas a la Orden;19;1;0;3987;41;119;0;0;0;190;0;263;9458;0;0;1;0
Monto Depósitos a la Orden;4;3;0;2490;17020;6894;0;0;0;2071;0;2136;7637;0;0;0;0
No. de Cuentas Depósitos con Restricciones;63;27;187;3679;67;472;2;0;23;16872;3;681;1990;808;0;116;1
Monto Depósitos con Restricciones;39;36;547;29405;806;3494;84;0;219;6680;1;5413;6533;6301;0;35;0
No. de Obligaciones Financieras;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;329
Monto Obligaciones Financieras;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202214
POSICIÓN PATRIMONIAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
