PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.;CREDICORP, S. A.
Obligaciones Subordinadas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Financieras con Restricciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Convertibles en Acciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA EXTRANJERA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES ACTIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Préstamos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Documentos Descontados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES PASIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos Monetarios;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos de Ahorro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos a Plazo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bonos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pagarés Financieros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Subordinadas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Financieras con Restricciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Convertibles en Acciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENCAJE LEGAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Encaje Computable;609428;210180;3334352;9177682;10260412;942456;440787;84208;241858;1462659;181750;2663626;2591040;4953416;160926;52027;33980
Encaje Requerido;607404;208584;3331711;9139207;10193640;938392;402893;83983;234841;1457848;181477;2580097;2581352;4931651;159832;43243;24782
Posición;2024;1595;2641;38475;66773;4064;37894;225;7016;4812;273;83529;9688;21765;1094;8784;9198
MONEDA EXTRANJERA /Cifras en miles de Dólares;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Encaje Computable;1952;6456;4415;306575;50501;49886;30327;355;26070;76451;332;251773;122096;214373;1121;10179;450
Encaje Requerido;1123;3135;2191;300912;29590;49591;18466;251;17167;75975;43;235616;120574;211596;253;7971;301
Posición;829;3321;2224;5663;20911;295;11861;103;8903;476;288;16157;1521;2778;868;2208;149
CARTERA DE CRÉDITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TOTAL DE CARTERA DE CRÉDITOS (BRUTA);1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Vigente;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Vencidos en Proceso de Prórroga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Administrativo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Judicial;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monto total de Cartera de Créditos (Bruta);1822149;923578;15835632;29443141;32634418;4187029;9663;297203;1275140;6395765;885837;13330302;14717279;12478621;1349232;167968;27391
MONEDA EXTRANJERA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TOTAL DE CARTERA DE CRÉDITOS (BRUTA);1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
Vigente;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1
Vencidos en Proceso de Prórroga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Administrativo;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Judicial;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monto total de Cartera de Créditos (Bruta);35406;90659;108339;29728572;4075422;2805837;915;554;633713;4519211;410;10609959;9453224;10638009;0;287192;2423
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEPÓSITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
No. de Cuentas Depósitos Monetarios;64912;11792;39437;1350279;1484951;87683;352;3374;2607;123402;0;176601;152773;453069;323942;602;300
Monto Depósitos Monetarios;1996381;318445;1595538;25839446;25543283;2416045;2078145;75386;314704;1649292;0;8283725;5312159;12083568;597475;12370;15659
No. de Cuentas Depósitos de Ahorro;34491;54053;408889;1428963;4402441;87819;0;18893;14605;204605;41944;389875;565053;890177;0;307;231
Monto Depósitos de Ahorro;741275;327900;3693348;13313444;22350248;1343090;0;170015;101766;991875;74689;3042754;3836973;12714084;0;15050;11639
No. de Cuentas Depósitos a Plazo;1997;1813;23517;17174;57735;2458;1;399;637;4333;2642;3827;8610;11873;3420;380;295
Monto Depósitos a Plazo;1293118;771660;17684637;23805660;22134215;2593160;550000;315775;1180366;7419247;1152064;6604683;8286449;8811051;489860;262166;194567
No. de Cuentas a la Orden;397;25;9;112050;5126;609;0;961;119;902;28;3311;349932;0;51;0;0
Monto Depósitos a la Orden;2243;3553;13;24528;66803;11991;0;52;18;2340;718;10644;41866;0;33;0;0
No. de Cuentas Depósitos con Restricciones;7628;1574;58461;102612;19545;12065;40;1015;1305;45584;415;9704;74764;125462;32257;3;0
Monto Depósitos con Restricciones;10673;2197;21358;298960;110016;23190;5440;917;993;31086;343;42868;59677;143075;6836;41;0
No. de Obligaciones Financieras;135;0;0;0;0;1;0;0;23;0;0;0;114;0;0;47;93
Monto Obligaciones Financieras;13298;0;0;0;0;400;0;0;42400;0;0;0;6306;0;0;17476;98332
MONEDA EXTRANJERA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
No. de Cuentas Depósitos Monetarios;420;455;1068;75676;12480;4178;225;0;789;17576;0;18597;10548;15720;1311;159;0
Monto Depósitos Monetarios;17268;57838;60963;8516624;689870;875528;916151;0;180234;1221483;0;6191474;2296747;7101246;13662;11286;0
No. de Cuentas Depósitos de Ahorro;513;381;1204;58775;23962;4957;0;146;864;20888;126;15041;19472;27867;0;51;7
Monto Depósitos de Ahorro;15090;10178;42458;4279850;242705;505752;0;17388;62429;555381;1117;1024394;2871942;1488775;0;31974;331
No. de Cuentas Depósitos a Plazo;86;63;23;1076;595;433;1;1;228;1342;5;780;1092;1447;0;284;45
Monto Depósitos a Plazo;23219;95652;9947;2570743;588850;1187065;1080;424;687406;2257179;1010;5015287;1280653;2619874;0;380895;23734
No. de Cuentas a la Orden;20;1;0;3739;58;119;0;0;0;271;0;331;8429;0;1;0;0
Monto Depósitos a la Orden;5;3;0;2192;7543;1618;0;0;0;2419;0;2748;19639;0;0;0;0
No. de Cuentas Depósitos con Restricciones;64;28;189;3859;70;482;3;0;27;16706;3;753;2073;928;121;1;0
Monto Depósitos con Restricciones;124;42;556;35814;898;4149;84;0;226;6709;1;8611;6965;16701;35;0;0
No. de Obligaciones Financieras;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;17
Monto Obligaciones Financieras;12565;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31073;16524
POSICIÓN PATRIMONIAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CAPITAL COMPUTABLE;367708;335172;4017687;11265149;8425272;1176564;240059;142981;371846;2405799;198386;2833230;3125646;5312787;303191;142349;53467
CAPITAL REQUERIDO;246483;122265;1731011;7661945;4817365;812354;49491;56474;240196;1447226;100954;2480282;2479408;3116389;147459;58997;14658
POSICIÓN;121224;212907;2286676;3603204;3607907;364210;190568;86508;131650;958573;97433;352948;646238;2196398;155732;83352;38810
INDICADORES FINANCIEROS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LIQUIDEZ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liquidez inmediata (LI);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liquidez mediata (LM);1;1;1;1;1;0;1;1;0;0;0;0;0;1;0;1;1
SOLVENCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Patrimonio con relación a activos (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Patrimonio con relación a cartera de créditos (PCC);0;0;0;0;0;0;35;1;0;0;0;0;0;0;0;0;2
Patrimonio con relación a las captaciones (PCA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Adecuación de capital (AC);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Calce de operaciones ME con relación al patrimonio computable (COME);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RENTABILIDAD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rendimiento sobre patrimonio (ROE);1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rendimiento sobre activos (ROA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eficiencia sobre activos (EA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eficiencia (EF);0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
CALIDAD DE ACTIVOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cartera de créditos vencida con relación a cartera de créditos bruta (CVC);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cobertura de cartera de créditos en riesgo (CCR);1;1;2;3;2;3;0;3;1;39;1;1;1;2;1;1;1
