PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;DE CRÉDITO, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.
Monto total de Cartera de Créditos (Bruta);20063;84307;108852;29662534;4429169;2328109;556;364;560567;4211756;557;10052682;9663230;10800393;0;0;312817
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEPÓSITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
No. de Cuentas Depósitos Monetarios;62836;11249;36300;1304546;2325572;82600;329;3479;2483;117657;0;165373;468566;1079342;0;318786;392
Monto Depósitos Monetarios;1563424;355902;1592262;22934793;24516116;2554971;2738243;69711;252193;1767576;0;7330393;5063088;12149547;0;584732;9752
No. de Cuentas Depósitos de Ahorro;36583;53756;400961;1389946;4372634;87211;0;18755;13666;358926;37563;340827;555101;857712;0;0;305
Monto Depósitos de Ahorro;759073;331239;3297711;13179483;21066818;1215634;0;156356;83858;824354;77934;2783079;3676361;11848732;0;0;13037
No. de Cuentas Depósitos a Plazo;2060;1781;23229;17305;60624;2633;0;415;660;4444;2556;4050;9048;12687;0;3397;312
Monto Depósitos a Plazo;1219070;681575;17396507;20907559;21316722;2699684;0;324294;1129313;7173490;1103164;7100903;8157988;9204208;0;466127;204568
No. de Cuentas a la Orden;427;36;5;112745;4489;234;0;962;119;659;24;2633;389438;0;0;51;0
Monto Depósitos a la Orden;6683;211;13;24507;144916;11401;0;52;7;1395;621;9665;43116;0;0;33;0
No. de Cuentas Depósitos con Restricciones;7594;1523;57787;95044;19080;11338;36;1005;1219;44569;399;8213;71700;123602;0;31662;3
Monto Depósitos con Restricciones;12107;2195;23122;275190;94801;22658;5163;869;1165;30076;283;35001;58256;131202;0;6622;41
No. de Obligaciones Financieras;126;0;0;0;0;1;0;0;22;0;0;0;114;0;0;0;226
Monto Obligaciones Financieras;1280;0;0;0;0;400;0;0;35050;0;0;0;6306;0;0;0;79513
MONEDA EXTRANJERA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
No. de Cuentas Depósitos Monetarios;410;439;1075;73838;12463;4129;207;0;775;17112;0;18120;10530;22472;0;1338;152
Monto Depósitos Monetarios;16014;56726;41348;7857699;668813;697722;956658;0;199206;1217197;0;5242692;1938580;6413778;0;12845;9968
No. de Cuentas Depósitos de Ahorro;519;382;1213;57676;24002;4924;0;140;769;19092;130;13515;19231;28217;0;0;51
Monto Depósitos de Ahorro;14904;10142;45719;3357811;253821;467739;0;9329;55779;437174;1308;870961;2659135;1499509;0;0;8623
No. de Cuentas Depósitos a Plazo;87;63;22;1084;588;463;2;1;215;1334;6;751;1176;1431;0;0;237
Monto Depósitos a Plazo;24175;79671;9823;2537312;551929;1340673;68207;428;568758;2136695;1048;4725837;1394040;1914493;0;0;330326
No. de Cuentas a la Orden;21;1;0;3915;55;121;0;0;0;207;0;283;9005;0;0;1;0
Monto Depósitos a la Orden;6;3;0;2380;12560;1375;0;0;0;2068;0;2198;5423;0;0;0;0
No. de Cuentas Depósitos con Restricciones;63;27;187;3694;66;474;2;0;25;16787;3;703;2019;835;0;118;1
Monto Depósitos con Restricciones;40;37;552;27470;813;3523;85;0;227;6642;1;6844;6602;6327;0;35;0
No. de Obligaciones Financieras;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;148
Monto Obligaciones Financieras;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92045
POSICIÓN PATRIMONIAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CAPITAL COMPUTABLE;289132;321655;3821618;9806769;8255600;1092294;240059;143313;317396;2427906;262868;2793225;2887379;5052671;0;294646;157881
CAPITAL REQUERIDO;187822;117169;1658622;7456319;4786942;757487;57588;58574;216868;1351819;110642;2260523;2327514;3050508;0;136089;66758
POSICIÓN;101310;204486;2162996;2350450;3468657;334807;182471;84739;100529;1076087;152226;532702;559865;2002164;0;158556;91123
INDICADORES FINANCIEROS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LIQUIDEZ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liquidez inmediata (LI);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liquidez mediata (LM);1;1;1;0;1;0;1;1;0;0;0;0;0;1;0;1;0
SOLVENCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Patrimonio con relación a activos (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Patrimonio con relación a cartera de créditos (PCC);0;0;0;0;0;0;90;1;0;0;0;0;0;0;0;0;0
Patrimonio con relación a las captaciones (PCA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Adecuación de capital (AC);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Calce de operaciones ME con relación al patrimonio computable (COME);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RENTABILIDAD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rendimiento sobre patrimonio (ROE);0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Rendimiento sobre activos (ROA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eficiencia sobre activos (EA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eficiencia (EF);0;1;1;1;1;1;1;1;1;1;1;1;1;1;9;1;1
CALIDAD DE ACTIVOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cartera de créditos vencida con relación a cartera de créditos bruta (CVC);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cobertura de cartera de créditos en riesgo (CCR);1;1;2;2;1;4;0;1;1;8;29;1;2;2;0;1;1
